########################### OUTPUT ###########################


******* DISPLACEMENTS *******
Node ID			X-Disp.				Y-Disp.				Rotation.
1			  0.00e+00			  0.00e+00			  0.00e+00			  
2			  -1.39e-04			  -3.82e-03			  -6.56e-03			  
3			  3.06e-05			  -6.09e-03			  -4.24e-03			  
4			  3.37e-06			  -7.74e-03			  -4.89e-03			  
5			  -4.71e-05			  -8.80e-03			  -4.06e-03			  
6			  2.26e-04			  -9.24e-03			  -7.47e-03			  
7			  -2.26e-04			  -9.24e-03			  7.47e-03			  
8			  4.71e-05			  -8.80e-03			  4.06e-03			  
9			  -3.37e-06			  -7.74e-03			  4.89e-03			  
10			  -3.06e-05			  -6.09e-03			  4.24e-03			  
11			  1.39e-04			  -3.82e-03			  6.56e-03			  
12			  0.00e+00			  0.00e+00			  0.00e+00			  

******* REACTIONS *******
Node ID			FX.				FY.				M
1			  2.03e+01			  7.85e+02			  -2.72e+01			
2			  0.00e+00			  -1.66e+02			  -1.66e+02			
3			  0.00e+00			  -1.66e+02			  -1.66e+02			
4			  0.00e+00			  -1.66e+02			  -1.66e+02			
5			  0.00e+00			  -1.66e+02			  -1.66e+02			
6			  0.00e+00			  -1.22e+02			  -1.22e+02			
7			  0.00e+00			  -1.22e+02			  1.22e+02			
8			  0.00e+00			  -1.66e+02			  1.66e+02			
9			  0.00e+00			  -1.66e+02			  1.66e+02			
10			  0.00e+00			  -1.66e+02			  1.66e+02			
11			  0.00e+00			  -1.66e+02			  1.66e+02			
12			  -2.03e+01			  7.85e+02			  2.72e+01			

******* Final Reactions2 *******
[ 20.32083462 784.8        -27.2359774    0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.           0.         -20.32083462 784.8         27.2359774 ]
******* Stresses *******
[5197.144403294131, 200716.11253196938, -699793.8694431427, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5197.144403294196, 200716.11253196944, 699793.8694431579]
